name,price,image_url,link
"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","32,990",https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UL320_.jpg,https://www.amazon.in/Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-1
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg","46,990",https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UL320_.jpg,https://www.amazon.in/Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_2?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-2
"(Renewed) DELL Latitude 5490 Core i5 8th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","19,497",https://m.media-amazon.com/images/I/615te9wVfzL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BD4BN7B6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-3
"Dell Inspiron 3520 Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62Cms) FHD Display- 3 Side Narrow Border, Win 11 + MSO'21, 2 Tuned Speakers, Black, Thin & Light-1.65Kg","42,990",https://m.media-amazon.com/images/I/51QGlg5iRdL._AC_UL320_.jpg,https://www.amazon.in/Dell-Inspiron-i5-1235U-39-62Cms-D560865WIN9B/dp/B0BH4SQPQL/ref=sr_1_4?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-4
"(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","19,000",https://m.media-amazon.com/images/I/418cc1MvF1L._AC_UL320_.jpg,https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BLVV4J9X/ref=sr_1_5?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-5
"(Renewed) DELL Latitude 5490 Core i5 8th Gen Laptop, 8 GB RAM, 256GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","17,100",https://m.media-amazon.com/images/I/418cc1MvF1L._AC_UL320_.jpg,https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BD4CHCB5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-6
"Dell 15 Thin & Light Laptop, 12th Generation Intel Core i3-1215U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Win 11 + MSO'21, 15 Month McAfee, Titan Grey, 1.69kg","34,990",https://m.media-amazon.com/images/I/61gZoQw54-L._AC_UL320_.jpg,https://www.amazon.in/Dell-Generation-i3-1215U-Processor-39-62cm/dp/B0BQJ9HZPP/ref=sr_1_7?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-7
"(Renewed) Dell Latitude Laptop E5470 Intel Core i5 6th Gen. - 6200u Processor, 16 GB Ram & 256 GB SSD, 14.1 Inches HD Screen Notebook Computer","16,990",https://m.media-amazon.com/images/I/61BeBTB41DL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Dell-Latitude-Laptop-E5470/dp/B094C61X3W/ref=sr_1_8?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-8
"(Refurbished) Dell Latitude 5490 Business 7th Gen Laptop PC (Intel Core i5-7300U, 8GB Ram, 256GB SSD, Camera, WiFi, Bluetooth) Win 10 Pro","17,100",https://m.media-amazon.com/images/I/41I9FOAHjML._AC_UL320_.jpg,https://www.amazon.in/Dell-Latitude-Bluetooth-Certified-Refurbished/dp/B07JYT4PZR/ref=sr_1_9?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-9
"Dell Inspiron 5430 13th Gen Laptop, Intel i7-1355U/16GB LPDDR5/512GB SSD/14.0"" (35.56Cms) FHD+ Comfort View/Backlit KB + FPR/Windows 11+MSO'21/McAfee 15 Months/Platinum Silver/Thunderbolt 4.0/1.59KGs","76,760.",https://m.media-amazon.com/images/I/61qPKF-NYwL._AC_UL320_.jpg,https://www.amazon.in/Dell-Inspiron-i7-1355U-35-56Cms-Thunderbolt/dp/B0C2HV8Y17/ref=sr_1_10?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-10
"Dell Inspiron 3530 13th Gen Laptop, Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits Narrow Border/Windows 11+MSO'21/McAfee 15 Month/Platinum Silver/1.62kg","41,990",https://m.media-amazon.com/images/I/61uJRC9yZWL._AC_UL320_.jpg,https://www.amazon.in/Dell-Inspiron-3530-i3-1305U-Platinum/dp/B0C4ZWLS7B/ref=sr_1_11?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-11
"(Refurbished) Dell Latitude Laptop E5470 Intel Core i5 6th Gen. - 6200u Processor, 8 GB Ram & 256 GB SSD, 14.1 Inches HD Screen Notebook Computer","16,299",https://m.media-amazon.com/images/I/61BeBTB41DL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Dell-Latitude-Laptop-E5470/dp/B094CBQ32N/ref=sr_1_12?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-12
"Dell G15-5530 Gaming Laptop, Intel Core i7-13650HX Processor/16GB/512GB SSD/NVIDIA RTX 3050 (6GB GDDR6)/15.6"" (39.62cm) FHD 120Hz 250 nits/Windows 11 + MSO'21/Backlit Keyboard/Dark Shadow Gray/2.65kg","89,490",https://m.media-amazon.com/images/I/316rDjf4HmL._AC_UL320_.jpg,https://www.amazon.in/Dell-G15-5530-i7-13650HX-Processor-Keyboard/dp/B0C1Z96NDF/ref=sr_1_13?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-13
"(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop, 8 GB RAM, 512gb SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","18,149",https://m.media-amazon.com/images/I/418cc1MvF1L._AC_UL320_.jpg,https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BLVVLMGC/ref=sr_1_14?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-14
"(Refurbished) DELL Latitude 5490 Core i5 7th Gen Laptop, 16 GB RAM, 1TB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","23,500",https://m.media-amazon.com/images/I/418cc1MvF1L._AC_UL320_.jpg,https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BLVWY1BC/ref=sr_1_15?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-15
"Dell Inspiron 5430 Laptop, Intel Core i5-1335U Processor/ 8GB/ 512GB SSD/ 14.0"" (35.56cm) FHD+ Comfort View/Backlit KB/Windows 11+MSO'21/15 Month McAfee/Platinum Silver, Thunderbolt 4.0 Port,1.59kg","57,990",https://m.media-amazon.com/images/I/51XYWuuCjlL._AC_UL320_.jpg,https://www.amazon.in/Dell-Inspiron-i5-1335U-Processor-Thunderbolt/dp/B0C2HVSHX6/ref=sr_1_16?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-16
"Dell Inspiron 3520 Laptop,12th Gen Intel Core i3-1215, Windows 11 + MSO'21, McAfee 15 Months, 8GB, 512GB SSD, 15.6"" (39.62Cms) 3 Sided Narrow Border Design with 120Hz FHD Display, Black, 1.65Kgs","33,445",https://m.media-amazon.com/images/I/71I7xDIyINL._AC_UL320_.jpg,https://www.amazon.in/Dell-Inspiron-i3-1215-39-62Cms-D560896WIN9B/dp/B0BH4RQ4WV/ref=sr_1_17?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-17
"(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop, 16 GB RAM, 256GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","18,274",https://m.media-amazon.com/images/I/418cc1MvF1L._AC_UL320_.jpg,https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BLVWGT1C/ref=sr_1_18?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-18
"(Refurbished) DELL Latitude 5490 Core i5 8th Gen Laptop, 8 GB RAM, 512gb SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","19,244",https://m.media-amazon.com/images/I/418cc1MvF1L._AC_UL320_.jpg,https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BD4D6WHR/ref=sr_1_19?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-19
"(Refurbished) Dell Latitude 7410 14"" Notebook - Full HD - 1920 x 1080 - Core i7 i7-10610U 10th Gen 1.8GHz Hexa-core (6 Core) - 16GB RAM - 512GB SSD","42,998",https://m.media-amazon.com/images/I/71SbQZgEvBL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Dell-Latitude-7410-Notebook/dp/B08LNT7MVB/ref=sr_1_20?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-20
(Refurbished) DELL LATITUDE 7490 Lightweight Intel Windows 10 Pro (Core i7 8th GEN/ 16GB RAM/ 512GB SSD/ WEBCAM/ 14'' TOUCH/ WIN-10 PRO) 1 Year Warranty,N/A,https://m.media-amazon.com/images/I/41fOx1vxQmL._AC_UL320_.jpg,https://www.amazon.in/Refurbished-LATITUDE-Lightweight-Windows-Warranty/dp/B0B7BKZZ23/ref=sr_1_21?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-21
Dell latitude bagpack,"1,349",https://m.media-amazon.com/images/I/81hXTJ40vnL._AC_UL320_.jpg,https://www.amazon.in/Dell-Latitude-Graphics-Business-Warranty/dp/B07YV4P55Z/ref=sr_1_22?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-22
(Refurbished) Dell Latitude 7480 14in FHD Laptop PC - Intel Core i7-6600U 2.6GHz 16GB 512GB SSD Windows 10 Professional,N/A,https://m.media-amazon.com/images/I/717zxQAOCuL._AC_UL320_.jpg,https://www.amazon.in/Dell-Latitude-7480-14in-Laptop/dp/B077T4MYJY/ref=sr_1_23?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-23
"(Refurbished) Dell LATITUDE E5470 14-inch Laptop (Core i5 6th Gen/16GB (Upgradable to 32)/1TB HDD/Windows 10 Pro/MS Office 2019/More than 4 GB Intel HD Graphics,Backlit Keyboard), Black","18,500",https://m.media-amazon.com/images/I/51k8BBkwQzL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Dell-14-Inch-1366x768-LATITUDE/dp/B08TX33R69/ref=sr_1_24?dib=eyJ2IjoiMSJ9.eAiIcy5Ojk5h9gTfjEtxgfrod7Vo6teY73-M0v6vbS3DMU07stYYw2ZhNYzkOg58G0newITe9JPWJmz1WGbGun-0xgx15BsWebup5pxefPrdJ9xRA3XRUX2l0muYI_fAbLB85gii3-LoR46u4kK73AqeqX_tbveQR07ZdaUJUO1KHeuM_w1SVj3LeLl-7XdOs5MU_M8_68v-0S0Mrt7kVz8jvwQq7mRs2MmCXVv98_EWzo6mlqdjFQEC7pL-EIoThYOxhfoCM_82RaxjRRRXduJGyAj8U9uC4TVPK__uXlQ.zXJi4Iiik69VqnJAPEtZGfLCa06MZEa7MX6UruUGNic&dib_tag=se&qid=1730145827&s=computers&sr=1-24
